regime,alpha,refusal_gemma,delta_pp,c2r,r2c,mcnemar_p,pct_compliers_flipped,deg
L12,-1.0,64,-12.0,2,8,0.1094,17.0,0
L12,-0.5,68,-8.0,1,5,0.2188,8.0,0
L12,0.0,76,0.0,0,0,1.0,0.0,0
L12,0.5,70,-6.0,1,4,0.375,8.0,0
L12,1.0,70,-6.0,2,5,0.4531,17.0,0
L20,-1.0,50,-26.0,4,17,0.0072,33.0,0
L20,-0.5,50,-26.0,1,14,0.001,8.0,0
L20,0.0,76,0.0,0,0,1.0,0.0,0
L20,0.5,78,2.0,4,3,1.0,33.0,0
L20,1.0,62,-14.0,3,10,0.0923,25.0,0
L28,-1.0,52,-24.0,4,16,0.0118,33.0,0
L28,-0.5,20,-56.0,0,28,0.0,0.0,0
L28,0.0,76,0.0,0,0,1.0,0.0,0
L28,0.5,100,24.0,12,0,0.0005,100.0,0
L28,1.0,100,24.0,12,0,0.0005,100.0,0
L36,-1.0,74,-2.0,5,6,1.0,42.0,34
L36,-0.5,58,-18.0,0,9,0.0039,0.0,0
L36,0.0,76,0.0,0,0,1.0,0.0,0
L36,0.5,82,6.0,3,0,0.25,25.0,0
L36,1.0,100,24.0,12,0,0.0005,100.0,0
band16-28,-1.0,100,24.0,12,0,0.0005,100.0,28
band16-28,-0.5,100,24.0,12,0,0.0005,100.0,100
band16-28,0.0,76,0.0,0,0,1.0,0.0,0
band16-28,0.5,100,24.0,12,0,0.0005,100.0,100
band16-28,1.0,100,24.0,12,0,0.0005,100.0,100
