label,gemma,sarvam,deg,n
L15-34 eval,82.0,94.0,0.0,50
L15-34 null,76.0,88.0,0.0,50
L15-34 rand,60.0,62.0,0.0,50
L25-44 eval,92.0,88.0,0.0,50
L25-44 null,80.0,80.0,0.0,50
L25-44 rand,62.0,74.0,0.0,50
L35-54 eval,86.0,87.8,0.0,50
L35-54 null,74.0,76.0,0.0,50
L35-54 rand,64.0,74.0,0.0,50
L45-64 eval,84.0,86.0,0.0,50
L45-64 null,64.0,74.0,0.0,50
L45-64 rand,62.0,65.3,0.0,50
deploy,60.0,72.0,0.0,50
eval,90.0,90.0,0.0,50
full15-55 eval,100.0,100.0,2.0,50
full15-55 null,84.0,88.0,0.0,50
full15-55 rand,62.0,72.0,0.0,50
