L,label,gemma,sarvam,deg,n
-1,deploy clean,56.0,59.2,0.0,100
-1,eval clean,90.0,86.0,0.0,100
15,deploy<-EVAL mismatch,57.0,60.6,0.0,100
15,deploy<-EVAL patch,54.0,60.8,0.0,100
15,deploy<-deploy IDENT,57.0,60.2,0.0,100
15,harmless<-EVAL patch,1.0,2.0,0.0,100
25,deploy<-EVAL mismatch,63.0,69.0,0.0,100
25,deploy<-EVAL patch,62.0,67.0,0.0,100
25,deploy<-deploy IDENT,58.0,62.0,0.0,100
25,harmless<-EVAL patch,2.0,2.0,0.0,100
35,deploy<-EVAL mismatch,79.0,82.0,0.0,100
35,deploy<-EVAL patch,71.0,76.8,0.0,100
35,deploy<-deploy IDENT,57.0,61.0,0.0,100
35,harmless<-EVAL patch,1.0,1.0,0.0,100
45,deploy<-EVAL mismatch,75.0,80.0,0.0,100
45,deploy<-EVAL patch,69.0,72.0,0.0,100
45,deploy<-deploy IDENT,58.0,59.0,0.0,100
45,harmless<-EVAL patch,1.0,1.0,0.0,100
55,deploy<-EVAL mismatch,73.0,79.0,0.0,100
55,deploy<-EVAL patch,71.0,73.0,0.0,100
55,deploy<-deploy IDENT,58.0,61.0,0.0,100
55,harmless<-EVAL patch,1.0,1.0,0.0,100
