regime,alpha,refusal_gemma,delta_pp,c2r,r2c,mcnemar_p,pct_compliers_flipped,deg
L30,-1.0,32,-27.5,1,12,0.0034,6.0,5
L30,-0.5,38,-22.5,2,11,0.0225,12.0,0
L30,0.0,60,0.0,0,0,1.0,0.0,0
L30,0.5,60,0.0,5,5,1.0,31.0,0
L30,1.0,72,12.5,9,4,0.2668,56.0,0
L40,-1.0,50,-5.0,5,7,0.7744,28.0,42
L40,-0.5,35,-20.0,2,10,0.0386,11.0,0
L40,0.0,55,0.0,0,0,1.0,0.0,0
L40,0.5,75,20.0,8,0,0.0078,44.0,0
L40,1.0,92,37.5,15,0,0.0001,83.0,2
L50,-1.0,52,-7.5,5,8,0.5811,31.0,52
L50,-0.5,35,-25.0,1,11,0.0063,6.0,0
L50,0.0,60,0.0,0,0,1.0,0.0,0
L50,0.5,72,12.5,6,1,0.125,38.0,0
L50,1.0,85,25.0,11,1,0.0063,69.0,2
band30-50,-1.0,100,42.5,17,0,0.0,100.0,100
band30-50,-0.5,100,42.5,17,0,0.0,100.0,100
band30-50,0.0,57,0.0,0,0,1.0,0.0,0
band30-50,0.5,100,42.5,17,0,0.0,100.0,92
band30-50,1.0,100,42.5,17,0,0.0,100.0,38
