regime,alpha,refusal_gemma,delta_pp,c2r,r2c,mcnemar_p,pct_compliers_flipped,deg
L12,-1.0,34,-34.0,3,20,0.0005,19.0,0
L12,-0.5,40,-28.0,2,16,0.0013,12.0,0
L12,0.0,68,0.0,0,0,1.0,0.0,0
L12,0.5,88,20.0,10,0,0.002,62.0,0
L12,1.0,98,30.0,15,0,0.0001,94.0,0
L16,-1.0,23,-45.8,5,27,0.0001,33.0,0
L16,-0.5,40,-20.0,1,7,0.0703,8.0,0
L16,0.0,69,0.0,0,0,1.0,0.0,0
L16,0.5,98,29.2,14,0,0.0001,93.0,0
L16,1.0,100,31.2,15,0,0.0001,100.0,0
L20,-1.0,38,-30.0,2,17,0.0007,12.0,2
L20,-0.5,60,-8.0,4,8,0.3877,25.0,0
L20,0.0,68,0.0,0,0,1.0,0.0,0
L20,0.5,96,28.0,14,0,0.0001,88.0,0
L20,1.0,100,32.0,16,0,0.0,100.0,0
band6-22,-1.0,100,27.7,13,0,0.0002,100.0,100
band6-22,-0.5,100,27.7,13,0,0.0002,100.0,100
band6-22,0.0,72,0.0,0,0,1.0,0.0,0
band6-22,0.5,100,27.7,13,0,0.0002,100.0,100
band6-22,1.0,100,27.7,13,0,0.0002,100.0,100
