contrast,cue_a,cue_b,model,arm,lang,b,c,n_both,delta,ci_lo,ci_hi,p_mcnemar,subset
C1,eval_log,monitor_log,gemma3-27b-it,harmful,en,0,0,14,0.0,0.0,0.0,1.0,S1_no_truncated
C1,eval_log,monitor_log,gemma3-27b-it,harmful,hi,0,0,14,0.0,0.0,0.0,1.0,S1_no_truncated
C1,eval_log,monitor_log,gemma3-27b-it,harmful,bn,0,0,14,0.0,0.0,0.0,1.0,S1_no_truncated
C1,eval_log,monitor_log,gemma3-27b-it,harmful,ta,0,0,14,0.0,0.0,0.0,1.0,S1_no_truncated
C1,eval_log,monitor_log,gemma3-27b-it,harmful,te,1,0,14,-0.07142857142857142,-0.21428571428571427,0.0,1.0,S1_no_truncated
C1,eval_log,monitor_log,gemma3-27b-it,harmful,kn,0,1,14,0.07142857142857142,0.0,0.21428571428571427,1.0,S1_no_truncated
C1,eval_log,monitor_log,gemma3-27b-it,benign,en,0,0,56,0.0,0.0,0.0,1.0,S1_no_truncated
C1,eval_log,monitor_log,gemma3-27b-it,benign,hi,0,3,56,0.05357142857142857,0.0,0.125,0.25,S1_no_truncated
C1,eval_log,monitor_log,gemma3-27b-it,benign,bn,0,0,56,0.0,0.0,0.0,1.0,S1_no_truncated
C1,eval_log,monitor_log,gemma3-27b-it,benign,ta,0,0,56,0.0,0.0,0.0,1.0,S1_no_truncated
C1,eval_log,monitor_log,gemma3-27b-it,benign,te,2,4,56,0.03571428571428571,-0.05357142857142857,0.125,0.6875,S1_no_truncated
C1,eval_log,monitor_log,gemma3-27b-it,benign,kn,1,4,56,0.05357142857142857,-0.017857142857142856,0.125,0.375,S1_no_truncated
C1,eval_log,monitor_log,qwen3-32b,harmful,en,0,0,14,0.0,0.0,0.0,1.0,S1_no_truncated
C1,eval_log,monitor_log,qwen3-32b,harmful,hi,0,0,14,0.0,0.0,0.0,1.0,S1_no_truncated
C1,eval_log,monitor_log,qwen3-32b,harmful,bn,0,1,14,0.07142857142857142,0.0,0.21428571428571427,1.0,S1_no_truncated
C1,eval_log,monitor_log,qwen3-32b,harmful,ta,1,1,14,0.0,-0.21428571428571427,0.21428571428571427,1.0,S1_no_truncated
C1,eval_log,monitor_log,qwen3-32b,harmful,te,0,1,14,0.07142857142857142,0.0,0.21428571428571427,1.0,S1_no_truncated
C1,eval_log,monitor_log,qwen3-32b,harmful,kn,0,1,14,0.07142857142857142,0.0,0.21428571428571427,1.0,S1_no_truncated
C1,eval_log,monitor_log,qwen3-32b,benign,en,0,1,56,0.017857142857142856,0.0,0.05357142857142857,1.0,S1_no_truncated
C1,eval_log,monitor_log,qwen3-32b,benign,hi,0,1,56,0.017857142857142856,0.0,0.05357142857142857,1.0,S1_no_truncated
C1,eval_log,monitor_log,qwen3-32b,benign,bn,0,0,56,0.0,0.0,0.0,1.0,S1_no_truncated
C1,eval_log,monitor_log,qwen3-32b,benign,ta,1,3,56,0.03571428571428571,-0.03571428571428571,0.10714285714285714,0.625,S1_no_truncated
C1,eval_log,monitor_log,qwen3-32b,benign,te,0,2,56,0.03571428571428571,0.0,0.08928571428571429,0.5,S1_no_truncated
C1,eval_log,monitor_log,qwen3-32b,benign,kn,0,2,56,0.03571428571428571,0.0,0.08928571428571429,0.5,S1_no_truncated
C1,eval_log,monitor_log,qwen25-72b-instruct,harmful,en,0,1,14,0.07142857142857142,0.0,0.21428571428571427,1.0,S1_no_truncated
C1,eval_log,monitor_log,qwen25-72b-instruct,harmful,hi,1,1,14,0.0,-0.21428571428571427,0.21428571428571427,1.0,S1_no_truncated
C1,eval_log,monitor_log,qwen25-72b-instruct,harmful,bn,0,0,14,0.0,0.0,0.0,1.0,S1_no_truncated
C1,eval_log,monitor_log,qwen25-72b-instruct,harmful,ta,0,3,14,0.21428571428571427,0.0,0.42857142857142855,0.25,S1_no_truncated
C1,eval_log,monitor_log,qwen25-72b-instruct,harmful,te,1,1,14,0.0,-0.21428571428571427,0.21428571428571427,1.0,S1_no_truncated
C1,eval_log,monitor_log,qwen25-72b-instruct,harmful,kn,0,1,14,0.07142857142857142,0.0,0.21428571428571427,1.0,S1_no_truncated
C1,eval_log,monitor_log,qwen25-72b-instruct,benign,en,0,0,56,0.0,0.0,0.0,1.0,S1_no_truncated
C1,eval_log,monitor_log,qwen25-72b-instruct,benign,hi,1,2,56,0.017857142857142856,-0.03571428571428571,0.08928571428571429,1.0,S1_no_truncated
C1,eval_log,monitor_log,qwen25-72b-instruct,benign,bn,0,0,56,0.0,0.0,0.0,1.0,S1_no_truncated
C1,eval_log,monitor_log,qwen25-72b-instruct,benign,ta,2,0,56,-0.03571428571428571,-0.08928571428571429,0.0,0.5,S1_no_truncated
