model,lang,language_effect,ci_lo,ci_hi
gemma3-27b-it,en,0.0,0.0,0.0
gemma3-27b-it,hi,-0.009833668341708542,-0.04522613065326633,0.02512562814070352
gemma3-27b-it,bn,0.010350753768844222,-0.035175879396984924,0.05527638190954774
gemma3-27b-it,ta,0.010636180904522612,-0.035175879396984924,0.05527638190954774
gemma3-27b-it,te,-0.004638693467336683,-0.040201005025125636,0.035175879396984924
gemma3-27b-it,kn,0.00024572864321608035,-0.035175879396984924,0.04020100502512563
qwen3-32b,en,0.0,0.0,0.0
qwen3-32b,hi,-0.02026030150753769,-0.06030150753768845,0.020100502512562814
qwen3-32b,bn,0.02060100502512563,-0.04020100502512562,0.07537688442211056
qwen3-32b,ta,0.02020904522613065,-0.030150753768844223,0.07537688442211055
qwen3-32b,te,0.055040201005025116,-0.0050251256281406975,0.11055276381909548
qwen3-32b,kn,0.009834170854271358,-0.05025125628140704,0.07035175879396985
qwen25-72b-instruct,en,0.0,0.0,0.0
qwen25-72b-instruct,hi,-0.010449246231155779,-0.06030150753768845,0.04020100502512563
qwen25-72b-instruct,bn,0.024964321608040203,-0.02512562814070352,0.07537688442211056
qwen25-72b-instruct,ta,0.03540804020100502,-0.02512562814070352,0.10050251256281406
qwen25-72b-instruct,te,0.050044221105527635,0.0,0.10050251256281408
qwen25-72b-instruct,kn,0.07485226130653266,0.010050251256281405,0.1407035175879397
sarvam-m,en,0.0,0.0,0.0
sarvam-m,hi,0.025068341708542715,-0.020100502512562818,0.07047738693467154
sarvam-m,bn,0.04017537688442211,-0.015075376884422113,0.09547738693467338
sarvam-m,ta,0.05016331658291457,-0.0050251256281407045,0.10552763819095479
sarvam-m,te,0.009999497487437186,-0.04020100502512563,0.06030150753768845
sarvam-m,kn,-0.009979899497487437,-0.06532663316582914,0.04020100502512563
