model,lang,C1_harmful,C1_benign,DiD,ci_lo,ci_hi
gemma3-27b-it,en,0.01972462311557789,0.004992999999999999,0.01473162311557789,-0.01507537688442211,0.05025125628140704
gemma3-27b-it,hi,0.009890954773869347,0.015074,-0.005183045226130653,-0.040100502512562815,0.030175879396984923
gemma3-27b-it,bn,0.03007537688442211,2.349999999999999e-05,0.03005187688442211,-0.01,0.07032663316582916
gemma3-27b-it,ta,0.0303608040201005,0.0001165,0.030244304020100504,-2.5125628140703488e-05,0.06530150753768844
gemma3-27b-it,te,0.015085929648241205,0.0444685,-0.029382570351758796,-0.0749748743718593,0.015175879396984924
gemma3-27b-it,kn,0.01997035175879397,0.050135,-0.030164648241206033,-0.0749748743718593,0.015175879396984924
qwen3-32b,en,0.05033869346733668,-0.0052,0.05553869346733669,0.020100502512562814,0.09540201005025126
qwen3-32b,hi,0.030078391959798997,0.009932499999999999,0.020145891959798996,-0.01994974874371859,0.06025125628140704
qwen3-32b,bn,0.0709396984924623,0.019826,0.05111369849246231,7.537688442211046e-05,0.10550314070351759
qwen3-32b,ta,0.07054773869346734,0.014672999999999999,0.05587473869346734,-0.004799623115577887,0.11557788944723618
qwen3-32b,te,0.1053788944723618,0.029743000000000002,0.0756358944723618,0.02030150753768844,0.1308291457286432
qwen3-32b,kn,0.06017286432160804,0.039839,0.020333864321608042,-0.03982412060301507,0.08047738693467336
qwen25-72b-instruct,en,0.025379899497487434,0.005014,0.020365899497487436,-0.015,0.05530150753768844
qwen25-72b-instruct,hi,0.01493065326633166,0.0200945,-0.005163846733668342,-0.05007537688442211,0.04020100502512563
qwen25-72b-instruct,bn,0.050344221105527644,-0.015068000000000002,0.06541222110552763,0.02007537688442211,0.11532726130653266
qwen25-72b-instruct,ta,0.06078793969849246,0.029841500000000003,0.030946439698492458,-0.03487437185929648,0.09555339195979899
qwen25-72b-instruct,te,0.07542412060301508,0.024881,0.05054312060301507,-0.00972361809045226,0.11045226130653267
qwen25-72b-instruct,kn,0.1002321608040201,-0.010190000000000001,0.11042216080402009,0.05025125628140704,0.17088002512562814
sarvam-m,en,0.025174371859296482,0.004942,0.020232371859296484,-0.020000628140703518,0.06030150753768844
sarvam-m,hi,0.050242713567839194,-0.004936,0.05517871356783919,0.010074748743718592,0.10050251256281408
sarvam-m,bn,0.0653497487437186,0.039859000000000006,0.02549074874371859,-0.029824120603015078,0.08050251256281407
sarvam-m,ta,0.07533768844221106,0.0048995,0.07043818844221104,0.020175879396984925,0.12060301507537688
sarvam-m,te,0.03517386934673367,0.010015999999999999,0.02515786934673367,-0.019974874371859297,0.07035175879396985
sarvam-m,kn,0.015194472361809045,-2.850000000000001e-05,0.015222972361809048,-0.030100502512562813,0.06025125628140704
