model,lang,b,c,n_both,delta,ci_lo,ci_hi,p_raw,p_holm,reject_at_0.05
gemma3-27b-it,en,3,7,199,0.020100502512562814,-0.010050251256281407,0.05025125628140704,0.34375,1.0,False
gemma3-27b-it,hi,4,6,199,0.010050251256281407,-0.020100502512562814,0.04020100502512563,0.75390625,1.0,False
gemma3-27b-it,bn,4,10,199,0.03015075376884422,-0.005025125628140704,0.06532663316582915,0.1795654296875,1.0,False
gemma3-27b-it,ta,2,8,199,0.03015075376884422,0.0,0.06030150753768844,0.109375,1.0,False
gemma3-27b-it,te,2,5,199,0.01507537688442211,-0.010050251256281407,0.04020100502512563,0.453125,1.0,False
gemma3-27b-it,kn,1,5,199,0.020100502512562814,0.0,0.04522613065326633,0.21875,1.0,False
qwen3-32b,en,1,11,199,0.05025125628140704,0.020100502512562814,0.08542713567839195,0.00634765625,0.1142578125,False
qwen3-32b,hi,2,8,199,0.03015075376884422,0.0,0.06030150753768844,0.109375,1.0,False
qwen3-32b,bn,4,18,199,0.07035175879396985,0.02512562814070352,0.11557788944723618,0.004343509674072266,0.08687019348144531,False
qwen3-32b,ta,4,18,199,0.07035175879396985,0.02512562814070352,0.11557788944723618,0.004343509674072266,0.08687019348144531,False
qwen3-32b,te,4,25,199,0.10552763819095477,0.05527638190954774,0.15577889447236182,0.00010371580719947815,0.0024891793727874756,True
qwen3-32b,kn,7,19,199,0.06030150753768844,0.010050251256281407,0.11055276381909548,0.028959274291992188,0.4343891143798828,False
qwen25-72b-instruct,en,3,8,199,0.02512562814070352,-0.005025125628140704,0.06030150753768844,0.2265625,1.0,False
qwen25-72b-instruct,hi,5,8,199,0.01507537688442211,-0.020100502512562814,0.05025125628140704,0.5810546875,1.0,False
qwen25-72b-instruct,bn,3,13,199,0.05025125628140704,0.010050251256281407,0.09045226130653267,0.021270751953125,0.34033203125,False
qwen25-72b-instruct,ta,10,22,199,0.06030150753768844,0.005025125628140704,0.11557788944723618,0.050102459732443094,0.6513319765217602,False
qwen25-72b-instruct,te,3,18,199,0.07537688442211055,0.03015075376884422,0.12060301507537688,0.0014896392822265625,0.032772064208984375,True
qwen25-72b-instruct,kn,6,26,199,0.10050251256281408,0.04522613065326633,0.15577889447236182,0.0005350527353584766,0.012306212913244963,True
sarvam-m,en,4,9,199,0.02512562814070352,-0.010050251256281407,0.06030150753768844,0.266845703125,1.0,False
sarvam-m,hi,4,14,199,0.05025125628140704,0.010050251256281407,0.09045226130653267,0.0308837890625,0.4343891143798828,False
sarvam-m,bn,4,17,199,0.06532663316582915,0.020100502512562814,0.11055276381909548,0.007197380065917969,0.12235546112060547,False
sarvam-m,ta,3,18,199,0.07537688442211055,0.035175879396984924,0.12060301507537688,0.0014896392822265625,0.032772064208984375,True
sarvam-m,te,4,11,199,0.035175879396984924,0.0,0.07537688442211055,0.11846923828125,1.0,False
sarvam-m,kn,6,9,199,0.01507537688442211,-0.02512562814070352,0.05527638190954774,0.60723876953125,1.0,False
