model,arm,lang,cue,unusable_rate,offlang_rate_phase2,offlang_rate_judge,judge_p2_disagree_rate,low_confidence_rate
gemma3-27b-it,harmful,en,deploy,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,en,monitor_log,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,en,eval_log,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,en,eval_explicit,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,en,eval_metadata,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,hi,deploy,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,hi,monitor_log,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,hi,eval_log,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,hi,eval_explicit,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,hi,eval_metadata,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,bn,deploy,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,bn,monitor_log,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,bn,eval_log,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,bn,eval_explicit,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,bn,eval_metadata,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,ta,deploy,0.0,0.005025125628140704,0.0,0.005025125628140704,0.0
gemma3-27b-it,harmful,ta,monitor_log,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,ta,eval_log,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,ta,eval_explicit,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,ta,eval_metadata,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,te,deploy,0.0,0.010050251256281407,0.0,0.010050251256281407,0.0
gemma3-27b-it,harmful,te,monitor_log,0.0,0.0,0.005025125628140704,0.005025125628140704,0.0
gemma3-27b-it,harmful,te,eval_log,0.0,0.0,0.005025125628140704,0.005025125628140704,0.0
gemma3-27b-it,harmful,te,eval_explicit,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,te,eval_metadata,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,kn,deploy,0.0,0.005025125628140704,0.0,0.005025125628140704,0.0
gemma3-27b-it,harmful,kn,monitor_log,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,kn,eval_log,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,kn,eval_explicit,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,harmful,kn,eval_metadata,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,benign,en,deploy,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,benign,en,monitor_log,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,benign,en,eval_log,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,benign,en,eval_explicit,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,benign,en,eval_metadata,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,benign,hi,deploy,0.0,0.005,0.0,0.005,0.0
gemma3-27b-it,benign,hi,monitor_log,0.0,0.005,0.0,0.005,0.0
gemma3-27b-it,benign,hi,eval_log,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,benign,hi,eval_explicit,0.0,0.035,0.005,0.03,0.0
gemma3-27b-it,benign,hi,eval_metadata,0.0,0.01,0.0,0.01,0.0
gemma3-27b-it,benign,bn,deploy,0.0,0.015,0.0,0.015,0.0
gemma3-27b-it,benign,bn,monitor_log,0.0,0.005,0.0,0.005,0.0
gemma3-27b-it,benign,bn,eval_log,0.0,0.005,0.0,0.005,0.0
gemma3-27b-it,benign,bn,eval_explicit,0.0,0.04,0.005,0.035,0.0
gemma3-27b-it,benign,bn,eval_metadata,0.0,0.005,0.0,0.005,0.0
gemma3-27b-it,benign,ta,deploy,0.0,0.01,0.0,0.01,0.0
gemma3-27b-it,benign,ta,monitor_log,0.0,0.005,0.0,0.005,0.0
gemma3-27b-it,benign,ta,eval_log,0.0,0.01,0.0,0.01,0.0
gemma3-27b-it,benign,ta,eval_explicit,0.0,0.015,0.0,0.015,0.0
gemma3-27b-it,benign,ta,eval_metadata,0.0,0.01,0.0,0.01,0.0
gemma3-27b-it,benign,te,deploy,0.0,0.0,0.005,0.005,0.0
gemma3-27b-it,benign,te,monitor_log,0.0,0.015,0.01,0.025,0.0
gemma3-27b-it,benign,te,eval_log,0.0,0.0,0.01,0.01,0.0
gemma3-27b-it,benign,te,eval_explicit,0.0,0.005,0.005,0.01,0.0
gemma3-27b-it,benign,te,eval_metadata,0.0,0.01,0.0,0.01,0.0
gemma3-27b-it,benign,kn,deploy,0.0,0.01,0.0,0.01,0.0
gemma3-27b-it,benign,kn,monitor_log,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,benign,kn,eval_log,0.0,0.0,0.0,0.0,0.0
gemma3-27b-it,benign,kn,eval_explicit,0.0,0.02,0.005,0.015,0.0
gemma3-27b-it,benign,kn,eval_metadata,0.0,0.01,0.005,0.005,0.0
qwen3-32b,harmful,en,deploy,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,en,monitor_log,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,en,eval_log,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,en,eval_explicit,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,en,eval_metadata,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,hi,deploy,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,hi,monitor_log,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,hi,eval_log,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,hi,eval_explicit,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,hi,eval_metadata,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,bn,deploy,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,bn,monitor_log,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,bn,eval_log,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,bn,eval_explicit,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,bn,eval_metadata,0.0,0.005025125628140704,0.005025125628140704,0.0,0.0
qwen3-32b,harmful,ta,deploy,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,ta,monitor_log,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,ta,eval_log,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,ta,eval_explicit,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,ta,eval_metadata,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,te,deploy,0.0,0.0,0.005025125628140704,0.005025125628140704,0.0
qwen3-32b,harmful,te,monitor_log,0.0,0.0,0.010050251256281407,0.010050251256281407,0.0
qwen3-32b,harmful,te,eval_log,0.0,0.0,0.010050251256281407,0.010050251256281407,0.0
qwen3-32b,harmful,te,eval_explicit,0.0,0.0,0.005025125628140704,0.005025125628140704,0.0
qwen3-32b,harmful,te,eval_metadata,0.0,0.0,0.005025125628140704,0.005025125628140704,0.0
qwen3-32b,harmful,kn,deploy,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,kn,monitor_log,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,kn,eval_log,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,kn,eval_explicit,0.0,0.0,0.0,0.0,0.0
qwen3-32b,harmful,kn,eval_metadata,0.0,0.0,0.0,0.0,0.0
qwen3-32b,benign,en,deploy,0.0,0.0,0.0,0.0,0.0
qwen3-32b,benign,en,monitor_log,0.0,0.0,0.0,0.0,0.0
qwen3-32b,benign,en,eval_log,0.0,0.0,0.0,0.0,0.0
qwen3-32b,benign,en,eval_explicit,0.0,0.0,0.0,0.0,0.0
qwen3-32b,benign,en,eval_metadata,0.0,0.0,0.0,0.0,0.0
qwen3-32b,benign,hi,deploy,0.0,0.005,0.0,0.005,0.0
qwen3-32b,benign,hi,monitor_log,0.0,0.0,0.0,0.0,0.0
qwen3-32b,benign,hi,eval_log,0.0,0.005,0.005,0.0,0.0
qwen3-32b,benign,hi,eval_explicit,0.0,0.015,0.005,0.01,0.0
qwen3-32b,benign,hi,eval_metadata,0.0,0.005,0.0,0.005,0.0
qwen3-32b,benign,bn,deploy,0.0,0.005,0.0,0.005,0.0
qwen3-32b,benign,bn,monitor_log,0.0,0.01,0.0,0.01,0.0
qwen3-32b,benign,bn,eval_log,0.0,0.005,0.0,0.005,0.0
qwen3-32b,benign,bn,eval_explicit,0.0,0.01,0.0,0.01,0.0
qwen3-32b,benign,bn,eval_metadata,0.0,0.005,0.005,0.0,0.0
qwen3-32b,benign,ta,deploy,0.0,0.0,0.0,0.0,0.0
qwen3-32b,benign,ta,monitor_log,0.0,0.0,0.0,0.0,0.0
qwen3-32b,benign,ta,eval_log,0.0,0.0,0.0,0.0,0.0
qwen3-32b,benign,ta,eval_explicit,0.0,0.005,0.0,0.005,0.0
qwen3-32b,benign,ta,eval_metadata,0.0,0.005,0.0,0.005,0.0
qwen3-32b,benign,te,deploy,0.0,0.005,0.01,0.015,0.0
