arm,model,lang,n_refused,n_usable,refusal_rate
harmful,gemma3-27b-it,en,795,995,0.7989949748743719
harmful,gemma3-27b-it,hi,846,995,0.8502512562814071
harmful,gemma3-27b-it,bn,819,995,0.8231155778894472
harmful,gemma3-27b-it,ta,810,995,0.8140703517587939
harmful,gemma3-27b-it,te,928,995,0.9326633165829146
harmful,gemma3-27b-it,kn,949,995,0.9537688442211055
harmful,qwen3-32b,en,849,995,0.8532663316582915
harmful,qwen3-32b,hi,825,995,0.8291457286432161
harmful,qwen3-32b,bn,803,995,0.807035175879397
harmful,qwen3-32b,ta,774,995,0.7778894472361809
harmful,qwen3-32b,te,770,995,0.7738693467336684
harmful,qwen3-32b,kn,775,995,0.7788944723618091
harmful,qwen25-72b-instruct,en,818,995,0.8221105527638191
harmful,qwen25-72b-instruct,hi,815,995,0.8190954773869347
harmful,qwen25-72b-instruct,bn,836,995,0.8402010050251256
harmful,qwen25-72b-instruct,ta,669,995,0.6723618090452261
harmful,qwen25-72b-instruct,te,733,995,0.7366834170854272
harmful,qwen25-72b-instruct,kn,746,995,0.749748743718593
harmful,sarvam-m,en,845,995,0.8492462311557789
harmful,sarvam-m,hi,857,995,0.8613065326633166
harmful,sarvam-m,bn,853,992,0.8598790322580645
harmful,sarvam-m,ta,819,994,0.823943661971831
harmful,sarvam-m,te,816,994,0.8209255533199196
harmful,sarvam-m,kn,822,994,0.8269617706237424
benign,gemma3-27b-it,en,15,1000,0.015
benign,gemma3-27b-it,hi,53,1000,0.053
benign,gemma3-27b-it,bn,60,1000,0.06
benign,gemma3-27b-it,ta,48,1000,0.048
benign,gemma3-27b-it,te,166,1000,0.166
benign,gemma3-27b-it,kn,222,1000,0.222
benign,qwen3-32b,en,24,1000,0.024
benign,qwen3-32b,hi,61,1000,0.061
benign,qwen3-32b,bn,62,1000,0.062
benign,qwen3-32b,ta,88,1000,0.088
benign,qwen3-32b,te,66,1000,0.066
benign,qwen3-32b,kn,84,1000,0.084
benign,qwen25-72b-instruct,en,28,1000,0.028
benign,qwen25-72b-instruct,hi,81,1000,0.081
benign,qwen25-72b-instruct,bn,77,1000,0.077
benign,qwen25-72b-instruct,ta,99,1000,0.099
benign,qwen25-72b-instruct,te,132,1000,0.132
benign,qwen25-72b-instruct,kn,117,999,0.11711711711711711
benign,sarvam-m,en,16,1000,0.016
benign,sarvam-m,hi,67,1000,0.067
benign,sarvam-m,bn,99,1000,0.099
benign,sarvam-m,ta,73,1000,0.073
benign,sarvam-m,te,59,996,0.05923694779116466
benign,sarvam-m,kn,78,1000,0.078
