lang,model,cue,n_refused,n_usable,refusal_rate
en,gemma3-27b-it,deploy,143,199,0.7185929648241206
en,gemma3-27b-it,monitor_log,152,199,0.7638190954773869
en,gemma3-27b-it,eval_log,156,199,0.7839195979899497
en,gemma3-27b-it,eval_explicit,175,199,0.8793969849246231
en,gemma3-27b-it,eval_metadata,169,199,0.8492462311557789
en,qwen3-32b,deploy,161,199,0.8090452261306532
en,qwen3-32b,monitor_log,161,199,0.8090452261306532
en,qwen3-32b,eval_log,171,199,0.8592964824120602
en,qwen3-32b,eval_explicit,182,199,0.914572864321608
en,qwen3-32b,eval_metadata,174,199,0.8743718592964824
en,qwen25-72b-instruct,deploy,151,199,0.7587939698492462
en,qwen25-72b-instruct,monitor_log,161,199,0.8090452261306532
en,qwen25-72b-instruct,eval_log,166,199,0.8341708542713567
en,qwen25-72b-instruct,eval_explicit,168,199,0.8442211055276382
en,qwen25-72b-instruct,eval_metadata,172,199,0.864321608040201
en,sarvam-m,deploy,164,199,0.8241206030150754
en,sarvam-m,monitor_log,167,199,0.8391959798994975
en,sarvam-m,eval_log,172,199,0.864321608040201
en,sarvam-m,eval_explicit,178,199,0.8944723618090452
en,sarvam-m,eval_metadata,164,199,0.8241206030150754
hi,gemma3-27b-it,deploy,159,199,0.7989949748743719
hi,gemma3-27b-it,monitor_log,164,199,0.8241206030150754
hi,gemma3-27b-it,eval_log,166,199,0.8341708542713567
hi,gemma3-27b-it,eval_explicit,182,199,0.914572864321608
hi,gemma3-27b-it,eval_metadata,175,199,0.8793969849246231
hi,qwen3-32b,deploy,152,199,0.7638190954773869
hi,qwen3-32b,monitor_log,160,199,0.8040201005025126
hi,qwen3-32b,eval_log,166,199,0.8341708542713567
hi,qwen3-32b,eval_explicit,178,199,0.8944723618090452
hi,qwen3-32b,eval_metadata,169,199,0.8492462311557789
hi,qwen25-72b-instruct,deploy,157,199,0.7889447236180904
hi,qwen25-72b-instruct,monitor_log,157,199,0.7889447236180904
hi,qwen25-72b-instruct,eval_log,160,199,0.8040201005025126
hi,qwen25-72b-instruct,eval_explicit,173,199,0.8693467336683417
hi,qwen25-72b-instruct,eval_metadata,168,199,0.8442211055276382
hi,sarvam-m,deploy,160,199,0.8040201005025126
hi,sarvam-m,monitor_log,166,199,0.8341708542713567
hi,sarvam-m,eval_log,176,199,0.8844221105527639
hi,sarvam-m,eval_explicit,184,199,0.9246231155778895
hi,sarvam-m,eval_metadata,171,199,0.8592964824120602
bn,gemma3-27b-it,deploy,152,199,0.7638190954773869
bn,gemma3-27b-it,monitor_log,156,199,0.7839195979899497
bn,gemma3-27b-it,eval_log,162,199,0.8140703517587939
bn,gemma3-27b-it,eval_explicit,181,199,0.9095477386934674
bn,gemma3-27b-it,eval_metadata,168,199,0.8442211055276382
bn,qwen3-32b,deploy,140,199,0.7035175879396985
bn,qwen3-32b,monitor_log,151,199,0.7587939698492462
bn,qwen3-32b,eval_log,165,199,0.8291457286432161
bn,qwen3-32b,eval_explicit,178,199,0.8944723618090452
bn,qwen3-32b,eval_metadata,169,199,0.8492462311557789
bn,qwen25-72b-instruct,deploy,156,199,0.7839195979899497
bn,qwen25-72b-instruct,monitor_log,158,199,0.7939698492462312
bn,qwen25-72b-instruct,eval_log,168,199,0.8442211055276382
bn,qwen25-72b-instruct,eval_explicit,187,199,0.9396984924623115
bn,qwen25-72b-instruct,eval_metadata,167,199,0.8391959798994975
bn,sarvam-m,deploy,159,199,0.7989949748743719
bn,sarvam-m,monitor_log,164,199,0.8241206030150754
bn,sarvam-m,eval_log,177,199,0.8894472361809045
bn,sarvam-m,eval_explicit,186,199,0.9346733668341709
bn,sarvam-m,eval_metadata,167,196,0.8520408163265306
ta,gemma3-27b-it,deploy,149,199,0.7487437185929648
ta,gemma3-27b-it,monitor_log,157,199,0.7889447236180904
ta,gemma3-27b-it,eval_log,163,199,0.8190954773869347
ta,gemma3-27b-it,eval_explicit,175,199,0.8793969849246231
ta,gemma3-27b-it,eval_metadata,166,199,0.8341708542713567
ta,qwen3-32b,deploy,129,199,0.6482412060301508
ta,qwen3-32b,monitor_log,144,199,0.7236180904522613
ta,qwen3-32b,eval_log,158,199,0.7939698492462312
ta,qwen3-32b,eval_explicit,176,199,0.8844221105527639
ta,qwen3-32b,eval_metadata,167,199,0.8391959798994975
ta,qwen25-72b-instruct,deploy,119,199,0.5979899497487438
ta,qwen25-72b-instruct,monitor_log,116,199,0.5829145728643216
ta,qwen25-72b-instruct,eval_log,128,199,0.6432160804020101
ta,qwen25-72b-instruct,eval_explicit,156,199,0.7839195979899497
ta,qwen25-72b-instruct,eval_metadata,150,199,0.7537688442211056
ta,sarvam-m,deploy,160,199,0.8040201005025126
ta,sarvam-m,monitor_log,154,199,0.7738693467336684
ta,sarvam-m,eval_log,169,199,0.8492462311557789
ta,sarvam-m,eval_explicit,176,199,0.8844221105527639
ta,sarvam-m,eval_metadata,160,198,0.8080808080808081
te,gemma3-27b-it,deploy,182,199,0.914572864321608
te,gemma3-27b-it,monitor_log,185,199,0.9296482412060302
te,gemma3-27b-it,eval_log,188,199,0.9447236180904522
te,gemma3-27b-it,eval_explicit,187,199,0.9396984924623115
te,gemma3-27b-it,eval_metadata,186,199,0.9346733668341709
te,qwen3-32b,deploy,133,199,0.6683417085427136
te,qwen3-32b,monitor_log,139,199,0.6984924623115578
te,qwen3-32b,eval_log,160,199,0.8040201005025126
te,qwen3-32b,eval_explicit,171,199,0.8592964824120602
te,qwen3-32b,eval_metadata,167,199,0.8391959798994975
te,qwen25-72b-instruct,deploy,128,199,0.6432160804020101
te,qwen25-72b-instruct,monitor_log,133,199,0.6683417085427136
te,qwen25-72b-instruct,eval_log,148,199,0.7437185929648241
te,qwen25-72b-instruct,eval_explicit,169,199,0.8492462311557789
te,qwen25-72b-instruct,eval_metadata,155,199,0.7788944723618091
te,sarvam-m,deploy,153,199,0.7688442211055276
te,sarvam-m,monitor_log,158,199,0.7939698492462312
te,sarvam-m,eval_log,165,199,0.8291457286432161
te,sarvam-m,eval_explicit,175,199,0.8793969849246231
te,sarvam-m,eval_metadata,165,198,0.8333333333333334
kn,gemma3-27b-it,deploy,185,199,0.9296482412060302
kn,gemma3-27b-it,monitor_log,185,199,0.9296482412060302
kn,gemma3-27b-it,eval_log,189,199,0.949748743718593
kn,gemma3-27b-it,eval_explicit,195,199,0.9798994974874372
kn,gemma3-27b-it,eval_metadata,195,199,0.9798994974874372
kn,qwen3-32b,deploy,127,199,0.6381909547738693
kn,qwen3-32b,monitor_log,148,199,0.7437185929648241
kn,qwen3-32b,eval_log,160,199,0.8040201005025126
kn,qwen3-32b,eval_explicit,177,199,0.8894472361809045
kn,qwen3-32b,eval_metadata,163,199,0.8190954773869347
kn,qwen25-72b-instruct,deploy,131,199,0.6582914572864321
kn,qwen25-72b-instruct,monitor_log,130,199,0.6532663316582915
kn,qwen25-72b-instruct,eval_log,150,199,0.7537688442211056
kn,qwen25-72b-instruct,eval_explicit,176,199,0.8844221105527639
kn,qwen25-72b-instruct,eval_metadata,159,199,0.7989949748743719
kn,sarvam-m,deploy,155,199,0.7788944723618091
kn,sarvam-m,monitor_log,160,199,0.8040201005025126
kn,sarvam-m,eval_log,163,199,0.8190954773869347
kn,sarvam-m,eval_explicit,178,199,0.8944723618090452
kn,sarvam-m,eval_metadata,166,198,0.8383838383838383
