contrast,lang,layer,auroc,n_pos,n_neg
eval_framing,en,0,0.9644999999999999,100,100
eval_framing,en,1,0.9764999999999999,100,100
eval_framing,en,2,0.9780000000000001,100,100
eval_framing,en,3,0.9964999999999999,100,100
eval_framing,en,4,0.9995,100,100
eval_framing,en,5,0.9995,100,100
eval_framing,en,6,1.0,100,100
eval_framing,en,7,0.999,100,100
eval_framing,en,8,1.0,100,100
eval_framing,en,9,1.0,100,100
eval_framing,en,10,1.0,100,100
eval_framing,en,11,1.0,100,100
eval_framing,en,12,0.9995,100,100
eval_framing,en,13,0.998,100,100
eval_framing,en,14,0.999,100,100
eval_framing,en,15,0.9974999999999999,100,100
eval_framing,en,16,0.9984999999999999,100,100
eval_framing,en,17,0.9995,100,100
eval_framing,en,18,0.9995,100,100
eval_framing,en,19,0.9970000000000001,100,100
eval_framing,en,20,0.9960000000000001,100,100
eval_framing,en,21,0.9955,100,100
eval_framing,en,22,0.9970000000000001,100,100
eval_framing,en,23,0.994,100,100
eval_framing,en,24,0.9945,100,100
eval_framing,en,25,0.9955,100,100
eval_framing,en,26,0.9899999999999999,100,100
eval_framing,en,27,0.991,100,100
eval_framing,en,28,0.9884999999999999,100,100
eval_framing,en,29,0.9925,100,100
eval_framing,en,30,0.9884999999999999,100,100
eval_framing,en,31,0.9869999999999999,100,100
eval_framing,en,32,0.986,100,100
eval_framing,en,33,0.9810000000000001,100,100
eval_framing,en,34,0.9784999999999998,100,100
eval_framing,en,35,0.9834999999999999,100,100
eval_framing,en,36,0.9869999999999999,100,100
eval_framing,en,37,0.9834999999999999,100,100
eval_framing,en,38,0.9854999999999998,100,100
eval_framing,en,39,0.9794999999999998,100,100
eval_framing,hi,0,0.9365,100,100
eval_framing,hi,1,0.993,100,100
eval_framing,hi,2,0.998,100,100
eval_framing,hi,3,1.0,100,100
eval_framing,hi,4,1.0,100,100
eval_framing,hi,5,1.0,100,100
eval_framing,hi,6,1.0,100,100
eval_framing,hi,7,1.0,100,100
eval_framing,hi,8,1.0,100,100
eval_framing,hi,9,1.0,100,100
eval_framing,hi,10,1.0,100,100
eval_framing,hi,11,1.0,100,100
eval_framing,hi,12,1.0,100,100
eval_framing,hi,13,1.0,100,100
eval_framing,hi,14,1.0,100,100
eval_framing,hi,15,1.0,100,100
eval_framing,hi,16,1.0,100,100
eval_framing,hi,17,1.0,100,100
eval_framing,hi,18,1.0,100,100
eval_framing,hi,19,1.0,100,100
eval_framing,hi,20,1.0,100,100
eval_framing,hi,21,0.9994999999999999,100,100
eval_framing,hi,22,0.9995,100,100
eval_framing,hi,23,1.0,100,100
eval_framing,hi,24,0.9969999999999999,100,100
eval_framing,hi,25,0.9964999999999999,100,100
eval_framing,hi,26,0.9949999999999999,100,100
eval_framing,hi,27,0.9970000000000001,100,100
eval_framing,hi,28,0.9970000000000001,100,100
eval_framing,hi,29,0.9974999999999999,100,100
eval_framing,hi,30,0.9970000000000001,100,100
eval_framing,hi,31,0.9974999999999999,100,100
eval_framing,hi,32,0.9964999999999999,100,100
eval_framing,hi,33,0.9960000000000001,100,100
eval_framing,hi,34,0.9949999999999999,100,100
eval_framing,hi,35,0.9984999999999999,100,100
eval_framing,hi,36,0.998,100,100
eval_framing,hi,37,0.9984999999999999,100,100
eval_framing,hi,38,0.9974999999999999,100,100
eval_framing,hi,39,0.9984999999999999,100,100
eval_framing,bn,0,0.974,100,100
eval_framing,bn,1,0.9795,100,100
eval_framing,bn,2,0.986,100,100
eval_framing,bn,3,0.9934999999999998,100,100
eval_framing,bn,4,0.9964999999999999,100,100
eval_framing,bn,5,0.9995,100,100
eval_framing,bn,6,1.0,100,100
eval_framing,bn,7,0.9995,100,100
eval_framing,bn,8,0.999,100,100
eval_framing,bn,9,1.0,100,100
eval_framing,bn,10,1.0,100,100
eval_framing,bn,11,1.0,100,100
eval_framing,bn,12,1.0,100,100
eval_framing,bn,13,1.0,100,100
eval_framing,bn,14,1.0,100,100
eval_framing,bn,15,1.0,100,100
eval_framing,bn,16,0.9995,100,100
eval_framing,bn,17,1.0,100,100
eval_framing,bn,18,1.0,100,100
eval_framing,bn,19,1.0,100,100
eval_framing,bn,20,1.0,100,100
eval_framing,bn,21,1.0,100,100
eval_framing,bn,22,1.0,100,100
eval_framing,bn,23,1.0,100,100
eval_framing,bn,24,1.0,100,100
eval_framing,bn,25,1.0,100,100
eval_framing,bn,26,1.0,100,100
eval_framing,bn,27,0.9994999999999999,100,100
eval_framing,bn,28,0.9994999999999999,100,100
eval_framing,bn,29,0.9994999999999999,100,100
eval_framing,bn,30,0.9994999999999999,100,100
eval_framing,bn,31,0.998,100,100
eval_framing,bn,32,0.9974999999999999,100,100
eval_framing,bn,33,0.9974999999999999,100,100
eval_framing,bn,34,0.9974999999999999,100,100
eval_framing,bn,35,0.9994999999999999,100,100
