lang,layer,in_eval_log,cross_explicit,cross_metadata,cross_mean
en,3,0.964,0.99,0.966,0.978
en,6,0.988,0.999,0.99,0.9944999999999999
en,9,0.996,1.0,0.994,0.997
en,12,0.991,1.0,0.983,0.9915
en,16,0.924,0.994,0.891,0.9425
en,19,0.898,0.996,0.94,0.968
en,25,0.895,0.992,0.942,0.967
en,32,0.882,0.989,0.934,0.9615
hi,3,0.901,0.94,0.643,0.7915
hi,6,0.99,0.999,0.908,0.9535
hi,9,0.992,1.0,0.803,0.9015
hi,12,0.984,0.996,0.706,0.851
hi,16,0.84,0.957,0.452,0.7045
hi,19,0.89,0.975,0.522,0.7484999999999999
hi,25,0.9,0.972,0.672,0.8220000000000001
hi,32,0.873,0.854,0.824,0.839
bn,3,0.77,0.884,0.651,0.7675000000000001
bn,6,0.965,0.987,0.944,0.9655
bn,9,0.996,0.998,0.939,0.9684999999999999
bn,12,0.962,0.996,0.642,0.819
bn,16,0.868,0.988,0.343,0.6655
bn,19,0.884,0.988,0.348,0.6679999999999999
bn,25,0.86,0.978,0.312,0.645
bn,32,0.796,0.936,0.248,0.5920000000000001
ta,3,0.808,0.934,0.61,0.772
ta,6,0.935,0.986,0.847,0.9165
ta,9,0.982,1.0,0.851,0.9255
ta,12,0.984,1.0,0.892,0.946
ta,16,0.865,0.988,0.388,0.688
ta,19,0.908,0.984,0.417,0.7005
ta,25,0.929,0.977,0.352,0.6645
ta,32,0.899,0.956,0.288,0.622
te,3,0.802,0.892,0.579,0.7355
te,6,0.9,0.928,0.774,0.851
te,9,0.995,0.997,0.929,0.9630000000000001
te,12,0.999,1.0,0.993,0.9964999999999999
te,16,0.849,0.914,0.913,0.9135
te,19,0.846,0.943,0.917,0.9299999999999999
te,25,0.832,0.888,0.933,0.9105000000000001
te,32,0.773,0.683,0.96,0.8215
