contrast,src,tgt,en_layer,transfer_auroc,en_heldout_auroc,note
eval_framing,en,hi,6,0.9976,1.0,
eval_framing,en,bn,6,0.97,1.0,
eval_framing,en,ta,6,0.9618,1.0,
eval_framing,en,te,6,0.9242,1.0,
eval_framing,en,or,6,0.9152,1.0,
cue_presence,en,hi,1,0.9609000000000001,1.0,
cue_presence,en,bn,1,0.9579,1.0,
cue_presence,en,ta,1,0.9491999999999999,1.0,
cue_presence,en,te,1,0.9320999999999999,1.0,
cue_presence,en,or,1,0.8516,1.0,
awareness,en,hi,19,0.6415584415584417,0.7139496396849339,
awareness,en,bn,19,0.6439328537170262,0.7139496396849339,
awareness,en,ta,19,0.5932203389830508,0.7139496396849339,
awareness,en,te,19,0.6976190476190476,0.7139496396849339,
awareness,en,or,19,0.44391025641025644,0.7139496396849339,
