label,n,n_items,OR,OR_lo,OR_hi,pp,p,boot_gap_pp,boot_lo,boot_hi,boot_p_boot,boot_n_pairs,boot_n_items
gemma-3-27b-it pooled-6,878,90,1.690590855622121,1.269687505560132,2.2510243099952887,5.563461255475088,0.0003249212040983931,5.251141552511415,3.277777777777778,11.333333333333332,0.00025,438,90
qwen3-32b pooled-6,878,90,1.745429723823395,1.4674944366881761,2.076004409039924,13.008561751113401,3.0866323626153846e-10,12.785388127853881,7.537037037037036,15.925925925925924,0.00025,438,90
sarvam-30b pooled-6,880,90,4.772175696074454,3.3857612586571997,6.726304406718795,31.54772799497656,4.477878603605597e-19,30.681818181818183,25.277314814814815,39.63055555555556,0.00025,440,90
sarvam-105b pooled-6,880,90,2.339809488362117,1.860235555064084,2.9430189240957683,17.015361775427063,3.7558029634917543e-13,16.363636363636363,12.25925925925926,22.5,0.00025,440,90
sarvam Indic-4 (en cue),468,77,1.6063480856071144,1.0475827421880592,2.463150707068849,4.429378043439081,0.029770019541708062,4.3478260869565215,0.23474178403755866,11.384976525821594,0.0395,207,71
sarvam Indic-4 (native cue),463,78,1.1891968698137114,0.7572745807871125,1.867472157463438,1.4224807830129693,0.4517287156096077,2.4630541871921183,-0.4761904761904762,7.857142857142856,0.1025,203,70
gemma-3-27b-it MONITORING (neutral-deploy),879,90,1.199739064851053,0.9333228301791691,1.542203594712629,2.1990400463595794,0.15520189707500026,2.050113895216401,-1.0555555555555554,7.667129629629632,0.146,439,90
gemma-3-27b-it FRAMING (eval-neutral),879,90,1.4022972585574027,1.1024323533142852,1.783726317035081,3.360804692302266,0.005879220756905551,3.189066059225513,-1.2412037037037036,8.94490740740741,0.127,439,90
qwen3-32b MONITORING (neutral-deploy),878,90,1.3129895632208417,1.110788831369108,1.5519975934597794,6.433740340483263,0.001415753265129814,6.392694063926941,4.536574074074074,14.814814814814813,0.00025,438,90
qwen3-32b FRAMING (eval-neutral),876,90,1.3377125789124593,1.109895690527104,1.612291100013892,6.541184071277284,0.0022534077382747723,6.422018348623854,-3.4078703703703703,7.629629629629629,0.386,436,90
sarvam-30b MONITORING (neutral-deploy),879,90,2.725739320790738,2.116446069841227,3.5104390094202196,22.24026561106892,7.959855131564165e-15,21.867881548974943,17.11111111111111,29.7412037037037,0.00025,439,90
sarvam-30b FRAMING (eval-neutral),879,90,1.7876355583375645,1.4173107959260416,2.2547213346702053,9.329068328904377,9.354694838910353e-07,8.88382687927107,4.8328703703703715,13.870370370370368,0.00025,439,90
sarvam-105b MONITORING (neutral-deploy),880,90,1.3706599517335214,1.1944600144601627,1.5728519000573018,7.002478239303345,7.0841679682887575e-06,6.8181818181818175,3.462962962962963,10.574074074074073,0.00025,440,90
sarvam-105b FRAMING (eval-neutral),880,90,1.7052821381088785,1.3943753367948244,2.0855124827706883,10.026004031087933,2.0232088006570164e-07,9.545454545454547,6.37037037037037,14.61111111111111,0.00025,440,90
sarvam en (alignment_faking),146,80,0.6591651405478174,0.3508001724152327,1.2385931270270856,-4.300204406886543,0.19528722055976677,-4.545454545454546,-12.121212121212121,1.5151515151515151,0.251,66,66
sarvam en battery neutral_log,143,80,0.42720632185888147,0.21612477457441343,0.8444438718123741,-8.356257594611549,0.014431870125327064,-7.936507936507936,-15.873015873015872,-1.5873015873015872,0.0155,63,63
sarvam en battery eval_log,147,80,0.3984632766345621,0.1893048618359345,0.8387158221216521,-8.65799622564264,0.015384927120952225,-8.955223880597014,-16.417910447761194,-2.9850746268656714,0.0035,67,67
sarvam en battery eval_explicit,146,83,0.8445892330824878,0.2727640392754111,2.615194343557185,-1.1217262519233384,0.7695949965892646,-1.5873015873015872,-9.523809523809524,6.349206349206349,0.856,63,63
sarvam en battery eval_metadata,142,79,0.5956177790137523,0.23073470896406872,1.5375256729689524,-4.05864413896958,0.2842054676253891,-6.349206349206349,-14.285714285714285,0.0,0.127,63,63
